ORDERNUMBER,QUANTITYORDERED,PRICEEACH,MSRP,SALES,PROFIT_LOSS,ORDERDATE,PRODUCTCODE,STATUS,QTR_ID,MONTH_ID,YEAR_ID
10333,26,100,214,3003,-2561,11/18/2004,S10_1949,Shipped,4,11,2004
10347,30,100,214,3944.7,-2475.3,11/29/2004,S10_1949,Shipped,4,11,2004
10357,32,100,214,5691.84,-1156.16,12/10/2004,S10_1949,Shipped,4,12,2004
10369,41,100,214,4514.92,-4259.08,1/20/2005,S10_1949,Shipped,1,1,2005
10381,36,100,214,8254.8,550.8,2/17/2005,S10_1949,Shipped,1,2,2005
10391,24,100,214,2416.56,-2719.44,3/9/2005,S10_1949,Shipped,1,3,2005
10411,23,100,214,4140.23,-781.77,5/1/2005,S10_1949,Shipped,2,5,2005
10424,50,100,214,12001,1301,5/31/2005,S10_1949,In Process,2,5,2005
10107,39,99.91,118,3896.49,-705.51,2/24/2003,S10_2016,Shipped,1,2,2003
10120,29,96.34,118,2793.86,-628.14,4/29/2003,S10_2016,Shipped,2,4,2003
10134,27,100,118,3307.77,121.77,7/1/2003,S10_2016,Shipped,3,7,2003
10145,37,100,118,5192.95,826.95,8/25/2003,S10_2016,Shipped,3,8,2003
10159,37,100,118,5016.83,650.83,10/10/2003,S10_2016,Shipped,4,10,2003
10168,27,100,118,3660.93,474.93,10/28/2003,S10_2016,Shipped,4,10,2003
10180,42,100,118,4695.6,-260.4,11/11/2003,S10_2016,Shipped,4,11,2003
10188,38,96.34,118,3660.92,-823.08,11/18/2003,S10_2016,Shipped,4,11,2003
10201,24,100,118,3025.92,193.92,12/1/2003,S10_2016,Shipped,4,12,2003
10210,23,100,118,3009.09,295.09,1/12/2004,S10_2016,Shipped,1,1,2004
10223,47,100,118,5422.39,-123.61,2/20/2004,S10_2016,Shipped,1,2,2004
10236,22,100,118,2852.08,256.08,4/3/2004,S10_2016,Shipped,2,4,2004
10251,44,100,118,5756.52,564.52,5/18/2004,S10_2016,Shipped,2,5,2004
10263,40,100,118,4472,-248,6/28/2004,S10_2016,Shipped,2,6,2004
10275,22,100,118,2904.44,308.44,7/23/2004,S10_2016,Shipped,3,7,2004
10285,47,100,118,6484.59,938.59,8/27/2004,S10_2016,Shipped,3,8,2004
10298,39,96.34,118,3757.26,-844.74,9/27/2004,S10_2016,Shipped,3,9,2004
10308,34,100,118,4043.96,31.96,10/15/2004,S10_2016,Shipped,4,10,2004
10318,45,100,118,5566.5,256.5,11/2/2004,S10_2016,Shipped,4,11,2004
10329,20,100,118,3176,816,11/15/2004,S10_2016,Shipped,4,11,2004
10339,40,68.92,118,2756.8,-1963.2,11/23/2004,S10_2016,Shipped,4,11,2004
10361,26,51.15,118,1329.9,-1738.1,12/17/2004,S10_2016,Shipped,4,12,2004
10374,39,100,118,5288.01,686.01,2/2/2005,S10_2016,Shipped,1,2,2005
10388,50,44.51,118,2225.5,-3674.5,3/3/2005,S10_2016,Shipped,1,3,2005
10402,45,100,118,5833.8,523.8,4/7/2005,S10_2016,Shipped,2,4,2005
10417,45,100,118,5887.35,577.35,5/13/2005,S10_2016,Disputed,2,5,2005
10107,27,100,193,6065.55,854.55,2/24/2003,S10_4698,Shipped,1,2,2003
10120,46,100,193,9264.86,386.86,4/29/2003,S10_4698,Shipped,2,4,2003
10134,31,100,193,7023.98,1040.98,7/1/2003,S10_4698,Shipped,3,7,2003
10145,33,100,193,5176.38,-1192.62,8/25/2003,S10_4698,Shipped,3,8,2003
10159,22,100,193,4132.7,-113.3,10/10/2003,S10_4698,Shipped,4,10,2003
10168,20,100,193,4183,323,10/28/2003,S10_4698,Shipped,4,10,2003
10180,41,100,193,8892.9,979.9,11/11/2003,S10_4698,Shipped,4,11,2003
10188,45,100,193,8714.7,29.7,11/18/2003,S10_4698,Shipped,4,11,2003
10201,49,100,193,8065.89,-1391.11,12/1/2003,S10_4698,Shipped,4,12,2003
10210,34,100,193,6123.4,-438.6,1/12/2004,S10_4698,Shipped,1,1,2004
10223,49,100,193,9774.03,317.03,2/20/2004,S10_4698,Shipped,1,2,2004
10237,39,100,193,7023.9,-503.1,4/5/2004,S10_4698,Shipped,2,4,2004
10251,43,100,193,7078.23,-1220.77,5/18/2004,S10_4698,Shipped,2,5,2004
10263,41,100,193,8336.94,423.94,6/28/2004,S10_4698,Shipped,2,6,2004
10275,36,100,193,6901.92,-46.08,7/23/2004,S10_4698,Shipped,3,7,2004
10285,27,100,193,5438.07,227.07,8/27/2004,S10_4698,Shipped,3,8,2004
10299,29,100,193,6683.34,1086.34,9/30/2004,S10_4698,Shipped,3,9,2004
10308,20,100,193,4570.4,710.4,10/15/2004,S10_4698,Shipped,4,10,2004
10318,37,100,193,7667.14,526.14,11/2/2004,S10_4698,Shipped,4,11,2004
10329,26,100,193,5868.2,850.2,11/15/2004,S10_4698,Shipped,4,11,2004
10339,39,76.67,193,2990.13,-4536.87,11/23/2004,S10_4698,Shipped,4,11,2004
10362,22,100,193,3664.1,-581.9,1/5/2005,S10_4698,Shipped,1,1,2005
10374,22,100,193,3834.38,-411.62,2/2/2005,S10_4698,Shipped,1,2,2005
10388,21,86.77,193,1822.17,-2230.83,3/3/2005,S10_4698,Shipped,1,3,2005
10403,66,100,193,11886.6,-851.4,4/8/2005,S10_4698,Shipped,2,4,2005
10417,56,100,193,9218.16,-1589.84,5/13/2005,S10_4698,Disputed,2,5,2005
10105,50,100,136,7208,408,2/11/2003,S10_4757,Shipped,1,2,2003
10119,46,100,136,5004.8,-1251.2,4/28/2003,S10_4757,Shipped,2,4,2003
10129,33,100,136,4398.24,-89.76,6/12/2003,S10_4757,Shipped,2,6,2003
10143,49,100,136,5597.76,-1066.24,8/10/2003,S10_4757,Shipped,3,8,2003
10155,32,100,136,4526.08,174.08,10/6/2003,S10_4757,Shipped,4,10,2003
10167,44,100,136,5924.16,-59.84,10/23/2003,S10_4757,Cancelled,4,10,2003
10178,24,100,136,3492.48,228.48,11/8/2003,S10_4757,Shipped,4,11,2003
10186,26,100,136,3854.24,318.24,11/14/2003,S10_4757,Shipped,4,11,2003
10197,45,100,136,5324.4,-795.6,11/26/2003,S10_4757,Shipped,4,11,2003
10209,39,100,136,5197.92,-106.08,1/9/2004,S10_4757,Shipped,1,1,2004
10222,49,100,136,5997.6,-666.4,2/19/2004,S10_4757,Shipped,1,2,2004
10248,20,100,136,2910.4,190.4,5/7/2004,S10_4757,Cancelled,2,5,2004
10261,27,100,136,3378.24,-293.76,6/17/2004,S10_4757,Shipped,2,6,2004
10273,30,100,136,3508.8,-571.2,7/21/2004,S10_4757,Shipped,3,7,2004
10283,25,100,136,2992,-408,8/20/2004,S10_4757,Shipped,3,8,2004
10295,24,100,136,3427.2,163.2,9/10/2004,S10_4757,Shipped,3,9,2004
10307,22,100,136,2692.8,-299.2,10/14/2004,S10_4757,Shipped,4,10,2004
10316,33,100,136,4128.96,-359.04,11/1/2004,S10_4757,Shipped,4,11,2004
10325,47,64.93,136,3051.71,-3340.29,11/5/2004,S10_4757,Shipped,4,11,2004
10337,25,48.05,136,1201.25,-2198.75,11/21/2004,S10_4757,Shipped,4,11,2004
10350,26,75.47,136,1962.22,-1573.78,12/2/2004,S10_4757,Shipped,4,12,2004
10359,48,54.68,136,2624.64,-3903.36,12/15/2004,S10_4757,Shipped,4,12,2004
10373,39,100,136,4046.25,-1257.75,1/31/2005,S10_4757,Shipped,1,1,2005
10384,34,100,136,4846.7,222.7,2/23/2005,S10_4757,Shipped,1,2,2005
10395,32,100,136,3370.56,-981.44,3/17/2005,S10_4757,Shipped,1,3,2005
10400,64,100,136,9661.44,957.44,4/1/2005,S10_4757,Shipped,2,4,2005
10414,19,100,136,2764.88,180.88,5/6/2005,S10_4757,On Hold,2,5,2005
10103,42,100,147,5398.26,-775.74,1/29/2003,S10_4962,Shipped,1,1,2003
10114,31,100,147,4305.28,-251.72,4/1/2003,S10_4962,Shipped,2,4,2003
10126,22,100,147,3347.74,113.74,5/28/2003,S10_4962,Shipped,2,5,2003
10140,26,100,147,3188.12,-633.88,7/24/2003,S10_4962,Shipped,3,7,2003
10150,20,100,147,3191.2,251.2,9/19/2003,S10_4962,Shipped,3,9,2003
10164,21,100,147,3536.82,449.82,10/21/2003,S10_4962,Resolved,4,10,2003
10175,33,100,147,5362.83,511.83,11/6/2003,S10_4962,Shipped,4,11,2003
10183,28,100,147,3433.36,-682.64,11/13/2003,S10_4962,Shipped,4,11,2003
10194,26,100,147,4263.74,441.74,11/25/2003,S10_4962,Shipped,4,11,2003
10207,31,100,147,4076.19,-480.81,12/9/2003,S10_4962,Shipped,4,12,2003
10217,48,100,147,7020.48,-35.52,2/4/2004,S10_4962,Shipped,1,2,2004
10229,50,100,147,6426.5,-923.5,3/11/2004,S10_4962,Shipped,1,3,2004
10245,28,100,147,4591.72,475.72,5/4/2004,S10_4962,Shipped,2,5,2004
10259,26,100,147,4033.38,211.38,6/15/2004,S10_4962,Shipped,2,6,2004
10270,32,100,147,4302.08,-401.92,7/19/2004,S10_4962,Shipped,3,7,2004
10281,44,100,147,7020.64,552.64,8/19/2004,S10_4962,Shipped,3,8,2004
10291,30,100,147,3855.9,-554.1,9/8/2004,S10_4962,Shipped,3,9,2004
10305,38,100,147,6680.78,1094.78,10/13/2004,S10_4962,Shipped,4,10,2004
10313,40,100,147,6678,798,10/22/2004,S10_4962,Shipped,4,10,2004
10322,46,61.99,147,2851.54,-3910.46,11/4/2004,S10_4962,Shipped,4,11,2004
10334,26,100,147,3188.12,-633.88,11/19/2004,S10_4962,On Hold,4,11,2004
10347,27,100,147,4428,459,11/29/2004,S10_4962,Shipped,4,11,2004
10357,43,100,147,5780.92,-540.08,12/10/2004,S10_4962,Shipped,4,12,2004
10370,35,65.63,147,2297.05,-2847.95,1/20/2005,S10_4962,Shipped,1,1,2005
10381,37,100,147,6231.54,792.54,2/17/2005,S10_4962,Shipped,1,2,2005
10391,37,46.9,147,1735.3,-3703.7,3/9/2005,S10_4962,Shipped,1,3,2005
10411,27,100,147,4427.73,458.73,5/1/2005,S10_4962,Shipped,2,5,2005
10425,38,100,147,5894.94,308.94,5/31/2005,S10_4962,In Process,2,5,2005
10108,33,100,194,5265.15,-1136.85,3/3/2003,S12_1099,Shipped,1,3,2003
10122,42,100,194,7599.9,-548.1,5/8/2003,S12_1099,Shipped,2,5,2003
10135,42,100,194,8008.56,-139.44,7/2/2003,S12_1099,Shipped,3,7,2003
10147,48,100,194,9245.76,-66.24,9/5/2003,S12_1099,Shipped,3,9,2003
10159,41,100,194,8296.35,342.35,10/10/2003,S12_1099,Shipped,4,10,2003
10169,30,100,194,5019.9,-800.1,11/4/2003,S12_1099,Shipped,4,11,2003
10181,27,100,194,5411.07,173.07,11/12/2003,S12_1099,Shipped,4,11,2003
10191,21,100,194,3840.9,-233.1,11/20/2003,S12_1099,Shipped,4,11,2003
10203,20,100,194,3930.4,50.4,12/2/2003,S12_1099,Shipped,4,12,2003
10211,41,100,194,7498.9,-455.1,1/15/2004,S12_1099,Shipped,1,1,2004
10225,27,100,194,4517.91,-720.09,2/22/2004,S12_1099,Shipped,1,2,2004
10238,28,100,194,5774.72,342.72,4/9/2004,S12_1099,Shipped,2,4,2004
10253,24,100,194,3922.56,-733.44,6/1/2004,S12_1099,Cancelled,2,6,2004
10266,44,100,194,9160.36,624.36,7/6/2004,S12_1099,Shipped,3,7,2004
10276,50,100,194,9631,-69,8/2/2004,S12_1099,Shipped,3,8,2004
10287,21,100,194,3432.24,-641.76,8/30/2004,S12_1099,Shipped,3,8,2004
10300,33,100,194,5521.89,-880.11,10/4/2003,S12_1099,Shipped,4,10,2003
10310,33,100,194,6934.62,532.62,10/16/2004,S12_1099,Shipped,4,10,2004
10320,31,100,194,6876.11,862.11,11/3/2004,S12_1099,Shipped,4,11,2004
10329,41,71.47,194,2930.27,-5023.73,11/15/2004,S12_1099,Shipped,4,11,2004
10341,45,79.65,194,3584.25,-5145.75,11/24/2004,S12_1099,Shipped,4,11,2004
10363,33,85.39,194,2817.87,-3584.13,1/6/2005,S12_1099,Shipped,1,1,2005
10375,45,76,194,3420,-5310,2/3/2005,S12_1099,Shipped,1,2,2005
10389,26,99.04,194,2575.04,-2468.96,3/3/2005,S12_1099,Shipped,1,3,2005
10419,12,100,194,1961.28,-366.72,5/17/2005,S12_1099,Shipped,2,5,2005
10105,41,100,207,8690.36,203.36,2/11/2003,S12_1108,Shipped,1,2,2003
10117,33,100,207,6034.38,-796.62,4/16/2003,S12_1108,Shipped,2,4,2003
10127,46,100,207,11279.2,1757.2,6/3/2003,S12_1108,Shipped,2,6,2003
10142,33,100,207,8023.29,1192.29,8/8/2003,S12_1108,Shipped,3,8,2003
10153,20,100,207,4904,764,9/28/2003,S12_1108,Shipped,3,9,2003
10165,44,100,207,8594.52,-513.48,10/22/2003,S12_1108,Shipped,4,10,2003
10176,33,100,207,7474.5,643.5,11/6/2003,S12_1108,Shipped,4,11,2003
10185,21,100,207,3883.74,-463.26,11/14/2003,S12_1108,Shipped,4,11,2003
10196,47,100,207,8887.7,-841.3,11/26/2003,S12_1108,Shipped,4,11,2003
10208,46,100,207,8602.92,-919.08,1/2/2004,S12_1108,Shipped,1,1,2004
10220,32,100,207,7181.44,557.44,2/12/2004,S12_1108,Shipped,1,2,2004
10231,42,100,207,8378.58,-315.42,3/19/2004,S12_1108,Shipped,1,3,2004
10247,44,100,207,10606.2,1498.2,5/5/2004,S12_1108,Shipped,2,5,2004
10272,35,100,207,5818.4,-1426.6,7/20/2004,S12_1108,Shipped,3,7,2004
10282,41,100,207,7071.27,-1415.73,8/20/2004,S12_1108,Shipped,3,8,2004
10293,46,100,207,8411.56,-1110.44,9/9/2004,S12_1108,Shipped,3,9,2004
10306,31,100,207,6570.76,153.76,10/14/2004,S12_1108,Shipped,4,10,2004
10314,38,100,207,7975.44,109.44,10/22/2004,S12_1108,Shipped,4,10,2004
10325,42,64,207,2688,-6006,11/5/2004,S12_1108,Shipped,4,11,2004
10336,33,57.22,207,1888.26,-4942.74,11/20/2004,S12_1108,Shipped,4,11,2004
10348,48,52.36,207,2513.28,-7422.72,11/1/2004,S12_1108,Shipped,4,11,2004
10359,42,100,207,4764.48,-3929.52,12/15/2004,S12_1108,Shipped,4,12,2004
10371,32,100,207,3560.64,-3063.36,1/23/2005,S12_1108,Shipped,1,1,2005
10382,34,100,207,3823.64,-3214.36,2/17/2005,S12_1108,Shipped,1,2,2005
10395,33,69.12,207,2280.96,-4550.04,3/17/2005,S12_1108,Shipped,1,3,2005
10413,36,100,207,8677.8,1225.8,5/5/2005,S12_1108,Shipped,2,5,2005
10103,27,100,136,3394.98,-277.02,1/29/2003,S12_1666,Shipped,1,1,2003
10113,21,100,136,3415.44,559.44,3/26/2003,S12_1666,Shipped,1,3,2003
10126,21,100,136,2439.57,-416.43,5/28/2003,S12_1666,Shipped,2,5,2003
10140,38,100,136,4829.8,-338.2,7/24/2003,S12_1666,Shipped,3,7,2003
10150,30,100,136,4100.1,20.1,9/19/2003,S12_1666,Shipped,3,9,2003
10164,49,100,136,6563.06,-100.94,10/21/2003,S12_1666,Resolved,4,10,2003
10174,43,100,136,6817.22,969.22,11/6/2003,S12_1666,Shipped,4,11,2003
10183,41,100,136,6163.94,587.94,11/13/2003,S12_1666,Shipped,4,11,2003
10194,38,100,136,4933.92,-234.08,11/25/2003,S12_1666,Shipped,4,11,2003
10206,28,100,136,4056.36,248.36,12/5/2003,S12_1666,Shipped,4,12,2003
10216,43,100,136,5759.42,-88.58,2/2/2004,S12_1666,Shipped,1,2,2004
10229,25,100,136,3451,51,3/11/2004,S12_1666,Shipped,1,3,2004
10245,38,100,136,5920.4,752.4,5/4/2004,S12_1666,Shipped,2,5,2004
10258,41,100,136,6668.24,1092.24,6/15/2004,S12_1666,Shipped,2,6,2004
10270,28,100,136,4094.72,286.72,7/19/2004,S12_1666,Shipped,3,7,2004
10281,25,100,136,2938.5,-461.5,8/19/2004,S12_1666,Shipped,3,8,2004
10291,41,100,136,6387.8,811.8,9/8/2004,S12_1666,Shipped,3,9,2004
10304,39,100,136,6396,1092,10/11/2004,S12_1666,Shipped,4,10,2004
10313,21,100,136,2669.1,-186.9,10/22/2004,S12_1666,Shipped,4,10,2004
10322,27,100,136,4784.13,1112.13,11/4/2004,S12_1666,Shipped,4,11,2004
10333,33,99.21,136,3273.93,-1214.07,11/18/2004,S12_1666,Shipped,4,11,2004
10347,29,100,136,3586.43,-357.57,11/29/2004,S12_1666,Shipped,4,11,2004
10357,49,100,136,5960.36,-703.64,12/10/2004,S12_1666,Shipped,4,12,2004
10370,49,100,136,8470.14,1806.14,1/20/2005,S12_1666,Shipped,1,1,2005
10381,20,100,136,2952,232,2/17/2005,S12_1666,Shipped,1,2,2005
10391,39,63.2,136,2464.8,-2839.2,3/9/2005,S12_1666,Shipped,1,3,2005
10411,40,100,136,6232,792,5/1/2005,S12_1666,Shipped,2,5,2005
10424,49,100,136,7969.36,1305.36,5/31/2005,S12_1666,In Process,2,5,2005
10107,21,100,150,3036.6,-113.4,2/24/2003,S12_2823,Shipped,1,2,2003
10121,50,100,150,8284,784,5/7/2003,S12_2823,Shipped,2,5,2003
10134,20,100,150,2711.2,-288.8,7/1/2003,S12_2823,Shipped,3,7,2003
10145,49,100,150,8339.8,989.8,8/25/2003,S12_2823,Shipped,3,8,2003
10159,38,100,150,6238.84,538.84,10/10/2003,S12_2823,Shipped,4,10,2003
10169,35,100,150,4639.25,-610.75,11/4/2003,S12_2823,Shipped,4,11,2003
10180,40,100,150,6747.6,747.6,11/11/2003,S12_2823,Shipped,4,11,2003
10189,28,100,150,4512.48,312.48,11/18/2003,S12_2823,Shipped,4,11,2003
10201,25,100,150,4029,279,12/1/2003,S12_2823,Shipped,4,12,2003
10211,36,100,150,4771.8,-628.2,1/15/2004,S12_2823,Shipped,1,1,2004
10224,43,100,150,6087.94,-362.06,2/21/2004,S12_2823,Shipped,1,2,2004
10237,32,100,150,4193.28,-606.72,4/5/2004,S12_2823,Shipped,2,4,2004
10251,46,100,150,7552.28,652.28,5/18/2004,S12_2823,Shipped,2,5,2004
10263,48,100,150,6434.4,-765.6,6/28/2004,S12_2823,Shipped,2,6,2004
10276,43,100,150,5181.5,-1268.5,8/2/2004,S12_2823,Shipped,3,8,2004
10285,49,100,150,6863.92,-486.08,8/27/2004,S12_2823,Shipped,3,8,2004
10299,24,100,150,4157.04,557.04,9/30/2004,S12_2823,Shipped,3,9,2004
10309,26,100,150,4660.24,760.24,10/15/2004,S12_2823,Shipped,4,10,2004
10319,30,100,150,4111.8,-388.2,11/3/2004,S12_2823,Shipped,4,11,2004
10329,24,100,150,3542.64,-57.36,11/15/2004,S12_2823,Shipped,4,11,2004
10341,55,100,150,8118.55,-131.45,11/24/2004,S12_2823,Shipped,4,11,2004
10362,22,100,150,3877.06,577.06,1/5/2005,S12_2823,Shipped,1,1,2005
10375,49,78.92,150,3867.08,-3482.92,2/3/2005,S12_2823,Shipped,1,2,2005
10388,44,100,150,5951.44,-648.56,3/3/2005,S12_2823,Shipped,1,3,2005
10403,66,100,150,8648.64,-1251.36,4/8/2005,S12_2823,Shipped,2,4,2005
10417,21,100,150,3447.78,297.78,5/13/2005,S12_2823,Disputed,2,5,2005
10104,34,100,151,5958.5,824.5,1/31/2003,S12_3148,Shipped,1,1,2003
10117,43,100,151,5911.64,-581.36,4/16/2003,S12_3148,Shipped,2,4,2003
10127,46,100,151,7366.44,420.44,6/3/2003,S12_3148,Shipped,2,6,2003
10142,33,100,151,4985.64,2.64,8/8/2003,S12_3148,Shipped,3,8,2003
10153,42,100,151,5393.64,-948.36,9/28/2003,S12_3148,Shipped,3,9,2003
10165,34,100,151,4880.02,-253.98,10/22/2003,S12_3148,Shipped,4,10,2003
10176,47,100,151,8378.69,1281.69,11/6/2003,S12_3148,Shipped,4,11,2003
10185,33,100,151,4038.21,-944.79,11/14/2003,S12_3148,Shipped,4,11,2003
10196,24,100,151,3807.12,183.12,11/26/2003,S12_3148,Shipped,4,11,2003
10208,26,100,151,3142.36,-783.64,1/2/2004,S12_3148,Shipped,1,1,2004
10220,30,100,151,4713.6,183.6,2/12/2004,S12_3148,Shipped,1,2,2004
10230,43,100,151,7016.31,523.31,3/15/2004,S12_3148,Shipped,1,3,2004
10247,25,100,151,4381.25,606.25,5/5/2004,S12_3148,Shipped,2,5,2004
10272,27,100,151,4283.01,206.01,7/20/2004,S12_3148,Shipped,3,7,2004
10282,27,100,151,4364.82,287.82,8/20/2004,S12_3148,Shipped,3,8,2004
10293,24,100,151,4242.24,618.24,9/9/2004,S12_3148,Shipped,3,9,2004
10306,34,100,151,4982.7,-151.3,10/14/2004,S12_3148,Shipped,4,10,2004
10314,46,100,151,6393.54,-552.46,10/22/2004,S12_3148,Shipped,4,10,2004
10324,27,54.33,151,1466.91,-2610.09,11/5/2004,S12_3148,Shipped,4,11,2004
10336,33,100,151,4059.33,-923.67,11/20/2004,S12_3148,Shipped,4,11,2004
10348,47,100,151,4801.52,-2295.48,11/1/2004,S12_3148,Shipped,4,11,2004
10358,49,55.34,151,2711.66,-4687.34,12/10/2004,S12_3148,Shipped,4,12,2004
10372,40,100,151,5862,-178,1/26/2005,S12_3148,Shipped,1,1,2005
10382,37,100,151,4071.85,-1515.15,2/17/2005,S12_3148,Shipped,1,2,2005
10413,47,100,151,8236.75,1139.75,5/5/2005,S12_3148,Shipped,2,5,2005
10108,45,100,117,6130.35,865.35,3/3/2003,S12_3380,Shipped,1,3,2003
10122,37,99.82,117,3693.34,-635.66,5/8/2003,S12_3380,Shipped,2,5,2003
10135,48,100,117,6031.68,415.68,7/2/2003,S12_3380,Shipped,3,7,2003
10147,31,100,117,3494.94,-132.06,9/5/2003,S12_3380,Shipped,3,9,2003
10160,46,100,117,5294.14,-87.86,10/11/2003,S12_3380,Shipped,4,10,2003
10170,47,100,117,5464.69,-34.31,11/4/2003,S12_3380,Shipped,4,11,2003
10181,28,100,117,2860.76,-415.24,11/12/2003,S12_3380,Shipped,4,11,2003
10191,40,100,117,5590,910,11/20/2003,S12_3380,Shipped,4,11,2003
10203,20,100,117,2254.8,-85.2,12/2/2003,S12_3380,Shipped,4,12,2003
10212,39,100,117,4946.76,383.76,1/16/2004,S12_3380,Shipped,1,1,2004
10225,25,99.82,117,2495.5,-429.5,2/22/2004,S12_3380,Shipped,1,2,2004
10238,29,100,117,3167.38,-225.62,4/9/2004,S12_3380,Shipped,2,4,2004
10253,22,100,117,2402.84,-171.16,6/1/2004,S12_3380,Cancelled,2,6,2004
10266,22,100,117,2454.54,-119.46,7/6/2004,S12_3380,Shipped,3,7,2004
10276,47,100,117,5464.69,-34.31,8/2/2004,S12_3380,Shipped,3,8,2004
10287,45,100,117,4756.5,-508.5,8/30/2004,S12_3380,Shipped,3,8,2004
10300,29,100,117,3984.6,591.6,10/4/2003,S12_3380,Shipped,4,10,2003
10310,24,100,117,3100.32,292.32,10/16/2004,S12_3380,Shipped,4,10,2004
10320,35,100,117,4850.3,755.3,11/3/2004,S12_3380,Shipped,4,11,2004
10329,46,83.63,117,3846.98,-1535.02,11/15/2004,S12_3380,Shipped,4,11,2004
10341,44,95.93,117,4220.92,-927.08,11/24/2004,S12_3380,Shipped,4,11,2004
10363,34,96.73,117,3288.82,-689.18,1/6/2005,S12_3380,Shipped,1,1,2005
10376,35,100,117,3987.2,-107.8,2/8/2005,S12_3380,Shipped,1,2,2005
10389,25,72.38,117,1809.5,-1115.5,3/3/2005,S12_3380,Shipped,1,3,2005
