ORDERNUMBER,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,TERRITORY,DEALSIZE,ORDERLINENUMBER
10174,S10_1949,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Large,4
10183,S10_1949,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Medium,8
10194,S10_1949,"Saveley & Henriot, Co.",Lyon,France,EMEA,Large,11
10206,S10_1949,Canadian Gift Exchange Network,Vancouver,Canada,NA,Large,6
10215,S10_1949,West Coast Collectables Co.,Burbank,USA,NA,Medium,3
10228,S10_1949,Cambridge Collectables Co.,Cambridge,USA,NA,Medium,2
10245,S10_1949,Super Scale Inc.,New Haven,USA,NA,Medium,9
10258,S10_1949,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Large,6
10270,S10_1949,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium,9
10280,S10_1949,Amica Models & Co.,Torino,Italy,EMEA,Large,2
10291,S10_1949,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Large,11
10304,S10_1949,Auto Assoc. & Cie.,Versailles,France,EMEA,Large,6
10312,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Large,3
10322,S10_1949,Online Diecast Creations Co.,Nashua,USA,NA,Medium,1
10333,S10_1949,Mini Wheels Co.,San Francisco,USA,NA,Medium,3
10347,S10_1949,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,1
10357,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,10
10369,S10_1949,Collectables For Less Inc.,Brickhaven,USA,NA,Medium,2
10381,S10_1949,Corporate Gift Ideas Co.,San Francisco,USA,NA,Large,3
10391,S10_1949,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small,4
10411,S10_1949,Quebec Home Shopping Network,Montreal,Canada,NA,Medium,9
10424,S10_1949,Euro Shopping Channel,Madrid,Spain,EMEA,Large,6
10107,S10_2016,Land of Toys Inc.,NYC,USA,NA,Medium,5
10120,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,APAC,Small,3
10134,S10_2016,Lyon Souveniers,Paris,France,EMEA,Medium,5
10145,S10_2016,Toys4GrownUps.com,Pasadena,USA,NA,Medium,9
10159,S10_2016,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium,17
10168,S10_2016,Technics Stores Inc.,Burlingame,USA,NA,Medium,4
10180,S10_2016,Daedalus Designs Imports,Lille,France,EMEA,Medium,12
10188,S10_2016,Herkku Gifts,Bergen,Norway,EMEA,Medium,4
10201,S10_2016,Mini Wheels Co.,San Francisco,USA,NA,Medium,5
10210,S10_2016,Osaka Souveniers Co.,Osaka,Japan,Japan,Medium,2
10223,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,4
10236,S10_2016,Motor Mint Distributors Inc.,Philadelphia,USA,NA,Small,1
10251,S10_2016,Tekni Collectables Inc.,Newark,USA,NA,Medium,5
10263,S10_2016,Gift Depot Inc.,Bridgewater,USA,NA,Medium,5
10275,S10_2016,La Rochelle Gifts,Nantes,France,EMEA,Small,4
10285,S10_2016,Marta's Replicas Co.,Cambridge,USA,NA,Medium,9
10298,S10_2016,Atelier graphique,Nantes,France,EMEA,Medium,1
10308,S10_2016,Mini Classics,White Plains,USA,NA,Medium,2
10318,S10_2016,Diecast Classics Inc.,Allentown,USA,NA,Medium,4
10329,S10_2016,Land of Toys Inc.,NYC,USA,NA,Medium,2
10339,S10_2016,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Small,4
10361,S10_2016,Souveniers And Things Co.,Chatswood,Australia,APAC,Small,8
10374,S10_2016,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Medium,5
10388,S10_2016,FunGiftIdeas.com,New Bedford,USA,NA,Small,5
10402,S10_2016,Auto Canal Petit,Paris,France,EMEA,Medium,1
10417,S10_2016,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,5
10107,S10_4698,Land of Toys Inc.,NYC,USA,NA,Medium,4
10120,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,APAC,Large,2
10134,S10_4698,Lyon Souveniers,Paris,France,EMEA,Large,4
10145,S10_4698,Toys4GrownUps.com,Pasadena,USA,NA,Medium,8
10159,S10_4698,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium,16
10168,S10_4698,Technics Stores Inc.,Burlingame,USA,NA,Medium,3
10180,S10_4698,Daedalus Designs Imports,Lille,France,EMEA,Large,11
10188,S10_4698,Herkku Gifts,Bergen,Norway,EMEA,Large,3
10201,S10_4698,Mini Wheels Co.,San Francisco,USA,NA,Large,4
10210,S10_4698,Osaka Souveniers Co.,Osaka,Japan,Japan,Medium,1
10223,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,APAC,Large,3
10237,S10_4698,Vitachrome Inc.,NYC,USA,NA,Large,9
10251,S10_4698,Tekni Collectables Inc.,Newark,USA,NA,Large,4
10263,S10_4698,Gift Depot Inc.,Bridgewater,USA,NA,Large,4
10275,S10_4698,La Rochelle Gifts,Nantes,France,EMEA,Medium,3
10285,S10_4698,Marta's Replicas Co.,Cambridge,USA,NA,Medium,8
10299,S10_4698,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Medium,11
10308,S10_4698,Mini Classics,White Plains,USA,NA,Medium,1
10318,S10_4698,Diecast Classics Inc.,Allentown,USA,NA,Large,3
10329,S10_4698,Land of Toys Inc.,NYC,USA,NA,Medium,3
10339,S10_4698,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Small,3
10362,S10_4698,Technics Stores Inc.,Burlingame,USA,NA,Medium,4
10374,S10_4698,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Medium,1
10388,S10_4698,FunGiftIdeas.com,New Bedford,USA,NA,Small,7
10403,S10_4698,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Large,9
10417,S10_4698,Euro Shopping Channel,Madrid,Spain,EMEA,Large,4
10105,S10_4757,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Large,2
10119,S10_4757,Salzburg Collectables,Salzburg,Austria,EMEA,Medium,11
10129,S10_4757,"Stylish Desk Decors, Co.",London,UK,EMEA,Medium,2
10143,S10_4757,Mini Creations Ltd.,New Bedford,USA,NA,Medium,15
10155,S10_4757,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Medium,13
10167,S10_4757,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium,9
10178,S10_4757,Alpha Cognac,Toulouse,France,EMEA,Medium,12
10186,S10_4757,"Double Decker Gift Stores, Ltd",London,UK,EMEA,Medium,9
10197,S10_4757,Enaco Distributors,Barcelona,Spain,EMEA,Medium,6
10209,S10_4757,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Medium,8
10222,S10_4757,Collectable Mini Designs Co.,San Diego,USA,NA,Medium,12
10248,S10_4757,Land of Toys Inc.,NYC,USA,NA,Small,3
10261,S10_4757,Quebec Home Shopping Network,Montreal,Canada,NA,Medium,1
10273,S10_4757,Petit Auto,Bruxelles,Belgium,EMEA,Medium,4
10283,S10_4757,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,NA,Small,6
10295,S10_4757,Gifts4AllAges.com,Boston,USA,NA,Medium,1
10307,S10_4757,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Small,9
10316,S10_4757,giftsbymail.co.uk,Cowes,UK,EMEA,Medium,17
10325,S10_4757,Baane Mini Imports,Stavern,Norway,EMEA,Medium,6
10337,S10_4757,Classic Legends Inc.,NYC,USA,NA,Small,8
10350,S10_4757,Euro Shopping Channel,Madrid,Spain,EMEA,Small,5
10359,S10_4757,Reims Collectables,Reims,France,EMEA,Small,6
10373,S10_4757,"Oulu Toy Supplies, Inc.",Oulu,Finland,EMEA,Medium,3
10384,S10_4757,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium,4
10395,S10_4757,Lyon Souveniers,Paris,France,EMEA,Medium,2
10400,S10_4757,The Sharp Gifts Warehouse,San Jose,USA,NA,Large,9
10414,S10_4757,Gifts4AllAges.com,Boston,USA,NA,Small,3
10103,S10_4962,Baane Mini Imports,Stavern,Norway,EMEA,Medium,4
10114,S10_4962,"La Corne D'abondance, Co.",Paris,France,EMEA,Medium,8
10126,S10_4962,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Medium,4
10140,S10_4962,Technics Stores Inc.,Burlingame,USA,NA,Medium,4
10150,S10_4962,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium,1
10164,S10_4962,Mini Auto Werke,Graz,Austria,EMEA,Medium,2
10175,S10_4962,"Stylish Desk Decors, Co.",London,UK,EMEA,Medium,9
10183,S10_4962,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Medium,1
10194,S10_4962,"Saveley & Henriot, Co.",Lyon,France,EMEA,Medium,4
10207,S10_4962,Diecast Collectables,Boston,USA,NA,Medium,15
10217,S10_4962,Handji Gifts& Co,Singapore,Singapore,APAC,Large,4
10229,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,9
10245,S10_4962,Super Scale Inc.,New Haven,USA,NA,Medium,2
10259,S10_4962,Handji Gifts& Co,Singapore,Singapore,APAC,Medium,12
10270,S10_4962,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium,2
10281,S10_4962,Diecast Classics Inc.,Allentown,USA,NA,Large,9
10291,S10_4962,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium,4
10305,S10_4962,Marta's Replicas Co.,Cambridge,USA,NA,Medium,13
10313,S10_4962,Canadian Gift Exchange Network,Vancouver,Canada,NA,Medium,7
10322,S10_4962,Online Diecast Creations Co.,Nashua,USA,NA,Small,8
10334,S10_4962,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Medium,2
10347,S10_4962,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,2
10357,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,9
10370,S10_4962,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small,4
10381,S10_4962,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium,6
10391,S10_4962,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small,7
10411,S10_4962,Quebec Home Shopping Network,Montreal,Canada,NA,Medium,2
10425,S10_4962,La Rochelle Gifts,Nantes,France,EMEA,Medium,12
10108,S12_1099,Cruz & Sons Co.,Makati City,Philippines,Japan,Medium,6
10122,S12_1099,Marseille Mini Autos,Marseille,France,EMEA,Large,10
10135,S12_1099,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Large,7
10147,S12_1099,Collectables For Less Inc.,Brickhaven,USA,NA,Large,7
10159,S12_1099,Corporate Gift Ideas Co.,San Francisco,USA,NA,Large,2
10169,S12_1099,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Medium,2
10181,S12_1099,Herkku Gifts,Bergen,Norway,EMEA,Medium,14
10191,S12_1099,"Toms Spezialitten, Ltd",Koln,Germany,EMEA,Medium,3
10203,S12_1099,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,8
10211,S12_1099,Auto Canal Petit,Paris,France,EMEA,Large,2
10225,S12_1099,"Vida Sport, Ltd",Gensve,Switzerland,EMEA,Medium,9
10238,S12_1099,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Medium,3
10253,S12_1099,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Medium,13
10266,S12_1099,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Large,14
10276,S12_1099,Online Mini Collectables,Brickhaven,USA,NA,Large,3
10287,S12_1099,"Vida Sport, Ltd",Gensve,Switzerland,EMEA,Medium,12
10300,S12_1099,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Medium,5
10310,S12_1099,"Toms Spezialitten, Ltd",Koln,Germany,EMEA,Medium,10
10320,S12_1099,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Medium,3
10329,S12_1099,Land of Toys Inc.,NYC,USA,NA,Small,5
10341,S12_1099,Salzburg Collectables,Salzburg,Austria,EMEA,Medium,2
10363,S12_1099,Suominen Souveniers,Espoo,Finland,EMEA,Small,3
10375,S12_1099,La Rochelle Gifts,Nantes,France,EMEA,Medium,7
10389,S12_1099,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Small,4
10419,S12_1099,Salzburg Collectables,Salzburg,Austria,EMEA,Small,13
10105,S12_1108,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Large,15
10117,S12_1108,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium,9
10127,S12_1108,Muscle Machine Inc,NYC,USA,NA,Large,2
10142,S12_1108,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Large,12
10153,S12_1108,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,11
10165,S12_1108,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Large,3
10176,S12_1108,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Large,2
10185,S12_1108,Mini Creations Ltd.,New Bedford,USA,NA,Medium,13
10196,S12_1108,Super Scale Inc.,New Haven,USA,NA,Large,5
10208,S12_1108,"Saveley & Henriot, Co.",Lyon,France,EMEA,Large,13
10220,S12_1108,"Clover Collections, Co.",Dublin,Ireland,EMEA,Large,2
10231,S12_1108,CAF Imports,Madrid,Spain,EMEA,Large,2
10247,S12_1108,Suominen Souveniers,Espoo,Finland,EMEA,Large,2
10272,S12_1108,Diecast Classics Inc.,Allentown,USA,NA,Medium,2
10282,S12_1108,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Large,5
10293,S12_1108,Amica Models & Co.,Torino,Italy,EMEA,Large,8
10306,S12_1108,"AV Stores, Co.",Manchester,UK,EMEA,Medium,13
10314,S12_1108,Heintze Collectables,Aaarhus,Denmark,EMEA,Large,5
10325,S12_1108,Baane Mini Imports,Stavern,Norway,EMEA,Small,8
10336,S12_1108,"La Corne D'abondance, Co.",Paris,France,EMEA,Small,10
10348,S12_1108,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Small,8
10359,S12_1108,Reims Collectables,Reims,France,EMEA,Medium,8
10371,S12_1108,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,6
10382,S12_1108,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,10
10395,S12_1108,Lyon Souveniers,Paris,France,EMEA,Small,1
10413,S12_1108,Gift Depot Inc.,Bridgewater,USA,NA,Large,2
10103,S12_1666,Baane Mini Imports,Stavern,Norway,EMEA,Medium,8
10113,S12_1666,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,2
10126,S12_1666,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Small,8
10140,S12_1666,Technics Stores Inc.,Burlingame,USA,NA,Medium,8
10150,S12_1666,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium,5
10164,S12_1666,Mini Auto Werke,Graz,Austria,EMEA,Medium,6
10174,S12_1666,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Medium,1
10183,S12_1666,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Medium,5
10194,S12_1666,"Saveley & Henriot, Co.",Lyon,France,EMEA,Medium,8
10206,S12_1666,Canadian Gift Exchange Network,Vancouver,Canada,NA,Medium,3
10216,S12_1666,Auto Assoc. & Cie.,Versailles,France,EMEA,Medium,1
10229,S12_1666,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,13
10245,S12_1666,Super Scale Inc.,New Haven,USA,NA,Medium,6
10258,S12_1666,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Medium,3
10270,S12_1666,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium,6
10281,S12_1666,Diecast Classics Inc.,Allentown,USA,NA,Small,13
10291,S12_1666,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium,8
10304,S12_1666,Auto Assoc. & Cie.,Versailles,France,EMEA,Medium,3
10313,S12_1666,Canadian Gift Exchange Network,Vancouver,Canada,NA,Small,11
10322,S12_1666,Online Diecast Creations Co.,Nashua,USA,NA,Medium,9
10333,S12_1666,Mini Wheels Co.,San Francisco,USA,NA,Medium,6
10347,S12_1666,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,3
10357,S12_1666,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,8
10370,S12_1666,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Large,8
10381,S12_1666,Corporate Gift Ideas Co.,San Francisco,USA,NA,Small,1
10391,S12_1666,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small,9
10411,S12_1666,Quebec Home Shopping Network,Montreal,Canada,NA,Medium,6
10424,S12_1666,Euro Shopping Channel,Madrid,Spain,EMEA,Large,3
10107,S12_2823,Land of Toys Inc.,NYC,USA,NA,Medium,1
10121,S12_2823,Reims Collectables,Reims,France,EMEA,Large,4
10134,S12_2823,Lyon Souveniers,Paris,France,EMEA,Small,1
10145,S12_2823,Toys4GrownUps.com,Pasadena,USA,NA,Large,5
10159,S12_2823,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium,13
10169,S12_2823,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Medium,13
10180,S12_2823,Daedalus Designs Imports,Lille,France,EMEA,Medium,8
10189,S12_2823,Toys4GrownUps.com,Pasadena,USA,NA,Medium,1
10201,S12_2823,Mini Wheels Co.,San Francisco,USA,NA,Medium,1
10211,S12_2823,Auto Canal Petit,Paris,France,EMEA,Medium,13
10224,S12_2823,Daedalus Designs Imports,Lille,France,EMEA,Medium,6
10237,S12_2823,Vitachrome Inc.,NYC,USA,NA,Medium,6
10251,S12_2823,Tekni Collectables Inc.,Newark,USA,NA,Large,1
10263,S12_2823,Gift Depot Inc.,Bridgewater,USA,NA,Medium,1
10276,S12_2823,Online Mini Collectables,Brickhaven,USA,NA,Medium,14
10285,S12_2823,Marta's Replicas Co.,Cambridge,USA,NA,Medium,5
10299,S12_2823,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Medium,8
10309,S12_2823,Baane Mini Imports,Stavern,Norway,EMEA,Medium,4
10319,S12_2823,Microscale Inc.,NYC,USA,NA,Medium,9
10329,S12_2823,Land of Toys Inc.,NYC,USA,NA,Medium,6
10341,S12_2823,Salzburg Collectables,Salzburg,Austria,EMEA,Large,8
10362,S12_2823,Technics Stores Inc.,Burlingame,USA,NA,Medium,1
10375,S12_2823,La Rochelle Gifts,Nantes,France,EMEA,Medium,13
10388,S12_2823,FunGiftIdeas.com,New Bedford,USA,NA,Medium,6
10403,S12_2823,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Large,6
10417,S12_2823,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,1
10104,S12_3148,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,1
10117,S12_3148,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium,10
10127,S12_3148,Muscle Machine Inc,NYC,USA,NA,Large,3
10142,S12_3148,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,13
10153,S12_3148,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,12
10165,S12_3148,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium,4
10176,S12_3148,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Large,3
10185,S12_3148,Mini Creations Ltd.,New Bedford,USA,NA,Medium,14
10196,S12_3148,Super Scale Inc.,New Haven,USA,NA,Medium,6
10208,S12_3148,"Saveley & Henriot, Co.",Lyon,France,EMEA,Medium,14
10220,S12_3148,"Clover Collections, Co.",Dublin,Ireland,EMEA,Medium,3
10230,S12_3148,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Large,1
10247,S12_3148,Suominen Souveniers,Espoo,Finland,EMEA,Medium,3
10272,S12_3148,Diecast Classics Inc.,Allentown,USA,NA,Medium,3
10282,S12_3148,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,6
10293,S12_3148,Amica Models & Co.,Torino,Italy,EMEA,Medium,9
10306,S12_3148,"AV Stores, Co.",Manchester,UK,EMEA,Medium,14
10314,S12_3148,Heintze Collectables,Aaarhus,Denmark,EMEA,Medium,6
10324,S12_3148,Vitachrome Inc.,NYC,USA,NA,Small,1
10336,S12_3148,"La Corne D'abondance, Co.",Paris,France,EMEA,Medium,11
10348,S12_3148,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Medium,4
10358,S12_3148,Euro Shopping Channel,Madrid,Spain,EMEA,Small,5
10372,S12_3148,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Medium,4
10382,S12_3148,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,11
10413,S12_3148,Gift Depot Inc.,Bridgewater,USA,NA,Large,3
10108,S12_3380,Cruz & Sons Co.,Makati City,Philippines,Japan,Medium,4
10122,S12_3380,Marseille Mini Autos,Marseille,France,EMEA,Medium,8
10135,S12_3380,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,5
10147,S12_3380,Collectables For Less Inc.,Brickhaven,USA,NA,Medium,5
10160,S12_3380,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Medium,6
10170,S12_3380,Mini Auto Werke,Graz,Austria,EMEA,Medium,4
10181,S12_3380,Herkku Gifts,Bergen,Norway,EMEA,Small,12
10191,S12_3380,"Toms Spezialitten, Ltd",Koln,Germany,EMEA,Medium,1
10203,S12_3380,Euro Shopping Channel,Madrid,Spain,EMEA,Small,6
10212,S12_3380,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,16
10225,S12_3380,"Vida Sport, Ltd",Gensve,Switzerland,EMEA,Small,7
10238,S12_3380,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Medium,1
10253,S12_3380,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Small,11
10266,S12_3380,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Small,12
10276,S12_3380,Online Mini Collectables,Brickhaven,USA,NA,Medium,1
10287,S12_3380,"Vida Sport, Ltd",Gensve,Switzerland,EMEA,Medium,10
10300,S12_3380,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Medium,3
10310,S12_3380,"Toms Spezialitten, Ltd",Koln,Germany,EMEA,Medium,8
10320,S12_3380,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Medium,1
10329,S12_3380,Land of Toys Inc.,NYC,USA,NA,Medium,13
10341,S12_3380,Salzburg Collectables,Salzburg,Austria,EMEA,Medium,1
10363,S12_3380,Suominen Souveniers,Espoo,Finland,EMEA,Medium,4
10376,S12_3380,Boards & Toys Co.,Glendale,USA,NA,Medium,1
10389,S12_3380,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Small,6
10419,S12_3380,Salzburg Collectables,Salzburg,Austria,EMEA,Small,11
10105,S12_3891,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Medium,14
10117,S12_3891,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium,8
10127,S12_3891,Muscle Machine Inc,NYC,USA,NA,Large,1
10142,S12_3891,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Large,11
10153,S12_3891,Euro Shopping Channel,Madrid,Spain,EMEA,Large,10
10165,S12_3891,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium,2
10176,S12_3891,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Large,1
10185,S12_3891,Mini Creations Ltd.,New Bedford,USA,NA,Large,12
10196,S12_3891,Super Scale Inc.,New Haven,USA,NA,Large,4
10208,S12_3891,"Saveley & Henriot, Co.",Lyon,France,EMEA,Medium,12
10220,S12_3891,"Clover Collections, Co.",Dublin,Ireland,EMEA,Medium,1
10231,S12_3891,CAF Imports,Madrid,Spain,EMEA,Medium,1
10247,S12_3891,Suominen Souveniers,Espoo,Finland,EMEA,Medium,1
10272,S12_3891,Diecast Classics Inc.,Allentown,USA,NA,Large,1
10282,S12_3891,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,4
10293,S12_3891,Amica Models & Co.,Torino,Italy,EMEA,Large,7
10306,S12_3891,"AV Stores, Co.",Manchester,UK,EMEA,Medium,12
10314,S12_3891,Heintze Collectables,Aaarhus,Denmark,EMEA,Medium,4
10325,S12_3891,Baane Mini Imports,Stavern,Norway,EMEA,Small,1
10336,S12_3891,"La Corne D'abondance, Co.",Paris,France,EMEA,Medium,1
10349,S12_3891,Muscle Machine Inc,NYC,USA,NA,Medium,10
10359,S12_3891,Reims Collectables,Reims,France,EMEA,Medium,5
10372,S12_3891,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Medium,1
10382,S12_3891,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,12
10396,S12_3891,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,3
10413,S12_3891,Gift Depot Inc.,Bridgewater,USA,NA,Medium,1
10108,S12_3990,Cruz & Sons Co.,Makati City,Philippines,Japan,Medium,7
10122,S12_3990,Marseille Mini Autos,Marseille,France,EMEA,Small,11
10135,S12_3990,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,8
10147,S12_3990,Collectables For Less Inc.,Brickhaven,USA,NA,Small,8
